dt_time,pm2.5cnc,pm10cnc,deviceid
2023-12-29 00:00:00,9.93,41.18,site_162
2023-12-29 00:15:00,9.96,41.18,site_162
2023-12-29 00:30:00,9.99,41.18,site_162
2023-12-29 00:45:00,9.31,42.82,site_162
2023-12-29 01:00:00,8.3,43.17,site_162
2023-12-29 01:15:00,8.34,43.17,site_162
2023-12-29 01:30:00,8.4,43.17,site_162
2023-12-29 01:45:00,8.81,45.31,site_162
2023-12-29 02:00:00,9.28,45.82,site_162
2023-12-29 02:15:00,9.28,45.82,site_162
2023-12-29 02:30:00,9.27,45.82,site_162
2023-12-29 02:45:00,8.83,47.74,site_162
2023-12-29 03:00:00,8.06,48.19,site_162
2023-12-29 03:15:00,8.06,48.19,site_162
2023-12-29 03:30:00,8.06,48.19,site_162
2023-12-29 03:45:00,8.18,47.52,site_162
2023-12-29 04:00:00,8.52,47.37,site_162
2023-12-29 04:15:00,8.5,47.37,site_162
2023-12-29 04:30:00,8.42,47.37,site_162
2023-12-29 04:45:00,8.02,47.25,site_162
2023-12-29 05:00:00,7.41,47.22,site_162
2023-12-29 05:15:00,7.37,47.22,site_162
2023-12-29 05:30:00,7.34,47.22,site_162
2023-12-29 05:45:00,7.19,46.12,site_162
2023-12-29 06:00:00,6.85,45.88,site_162
2023-12-29 06:15:00,6.84,45.88,site_162
2023-12-29 06:30:00,6.78,45.88,site_162
2023-12-29 06:45:00,8.98,44.87,site_162
2023-12-29 07:00:00,12.86,44.63,site_162
2023-12-29 07:15:00,12.89,44.63,site_162
2023-12-29 07:30:00,12.85,44.63,site_162
2023-12-29 07:45:00,11.37,45.14,site_162
2023-12-29 08:00:00,8.78,45.26,site_162
2023-12-29 08:15:00,8.78,45.26,site_162
2023-12-29 08:30:00,8.83,45.26,site_162
2023-12-29 08:45:00,9.41,43.23,site_162
2023-12-29 09:00:00,10.26,42.75,site_162
2023-12-29 09:15:00,10.23,42.75,site_162
2023-12-29 09:30:00,10.2,42.75,site_162
2023-12-29 09:45:00,10.01,41.13,site_162
2023-12-29 10:00:00,9.75,40.77,site_162
2023-12-29 10:15:00,9.75,40.77,site_162
2023-12-29 10:30:00,9.75,40.77,site_162
2023-12-29 10:45:00,13.69,39.31,site_162
2023-12-29 11:00:00,20.59,38.99,site_162
2023-12-29 11:15:00,20.61,38.99,site_162
2023-12-29 11:30:00,20.62,38.99,site_162
2023-12-29 11:45:00,17.87,29.83,site_162
2023-12-29 12:00:00,13.15,27.82,site_162
2023-12-29 12:15:00,13.14,27.82,site_162
2023-12-29 12:30:00,13.15,27.82,site_162
2023-12-29 12:45:00,12.73,26.27,site_162
2023-12-29 13:00:00,11.91,25.93,site_162
2023-12-29 13:15:00,11.94,25.93,site_162
2023-12-29 13:30:00,11.87,25.93,site_162
2023-12-29 13:45:00,13.32,23.0,site_162
2023-12-29 14:00:00,15.91,22.36,site_162
2023-12-29 14:15:00,15.79,22.36,site_162
2023-12-29 14:30:00,15.8,22.36,site_162
2023-12-29 14:45:00,13.7,17.36,site_162
2023-12-29 15:00:00,10.01,16.28,site_162
2023-12-29 15:15:00,9.99,16.28,site_162
2023-12-29 15:30:00,10.02,16.28,site_162
2023-12-29 15:45:00,9.22,20.05,site_162
2023-12-29 16:00:00,7.8,20.88,site_162
2023-12-29 16:15:00,7.77,20.88,site_162
2023-12-29 16:30:00,7.61,20.88,site_162
2023-12-29 16:45:00,7.7,20.2,site_162
2023-12-29 17:00:00,7.94,20.04,site_162
2023-12-29 17:15:00,7.97,20.04,site_162
2023-12-29 17:30:00,8.03,20.04,site_162
2023-12-29 17:45:00,8.32,24.78,site_162
2023-12-29 18:00:00,8.79,25.74,site_162
2023-12-29 18:15:00,8.78,25.74,site_162
2023-12-29 18:30:00,8.74,25.74,site_162
2023-12-29 18:45:00,7.93,24.17,site_162
2023-12-29 19:00:00,6.8,23.8,site_162
2023-12-29 19:15:00,6.79,23.8,site_162
2023-12-29 19:30:00,6.85,23.8,site_162
2023-12-29 19:45:00,7.46,31.13,site_162
2023-12-29 20:00:00,8.47,32.88,site_162
2023-12-29 20:15:00,8.47,32.88,site_162
2023-12-29 20:30:00,8.54,32.88,site_162
2023-12-29 20:45:00,8.1,33.05,site_162
2023-12-29 21:00:00,7.6,33.09,site_162
2023-12-29 21:15:00,7.59,33.09,site_162
2023-12-29 21:30:00,7.67,33.09,site_162
2023-12-29 21:45:00,7.39,32.96,site_162
2023-12-29 22:00:00,6.64,32.93,site_162
2023-12-29 22:15:00,6.66,32.93,site_162
2023-12-29 22:30:00,6.65,32.93,site_162
2023-12-29 22:45:00,6.73,33.29,site_162
2023-12-29 23:00:00,6.56,33.36,site_162
2023-12-29 23:15:00,6.61,33.36,site_162
2023-12-29 23:30:00,6.59,33.36,site_162
2023-12-29 23:45:00,7.03,40.22,site_162
2023-12-30 00:00:00,7.74,41.51,site_162
2023-12-30 00:15:00,7.75,41.51,site_162
2023-12-30 00:30:00,7.69,41.51,site_162
2023-12-30 00:45:00,7.31,40.38,site_162
2023-12-30 01:00:00,6.71,40.13,site_162
2023-12-30 01:15:00,6.77,40.13,site_162
2023-12-30 01:30:00,6.85,40.13,site_162
2023-12-30 01:45:00,7.19,36.89,site_162
2023-12-30 02:00:00,7.7,36.18,site_162
2023-12-30 02:15:00,7.67,36.18,site_162
2023-12-30 02:30:00,7.6,36.18,site_162
2023-12-30 02:45:00,7.38,33.39,site_162
2023-12-30 03:00:00,6.8,32.78,site_162
2023-12-30 03:15:00,6.79,32.78,site_162
2023-12-30 03:30:00,6.77,32.78,site_162
2023-12-30 03:45:00,7.4,32.28,site_162
2023-12-30 04:00:00,8.36,32.18,site_162
2023-12-30 04:15:00,8.42,32.18,site_162
2023-12-30 04:30:00,8.4,32.18,site_162
2023-12-30 04:45:00,7.78,34.55,site_162
2023-12-30 05:00:00,6.87,35.06,site_162
2023-12-30 05:15:00,6.85,35.06,site_162
2023-12-30 05:30:00,6.85,35.06,site_162
2023-12-30 05:45:00,7.21,31.24,site_162
2023-12-30 06:00:00,7.82,30.42,site_162
2023-12-30 06:15:00,7.72,30.42,site_162
2023-12-30 06:30:00,7.81,30.42,site_162
2023-12-30 06:45:00,8.4,23.3,site_162
2023-12-30 07:00:00,9.75,21.72,site_162
2023-12-30 07:15:00,9.75,21.72,site_162
2023-12-30 07:30:00,9.75,21.72,site_162
2023-12-30 07:45:00,10.26,27.4,site_162
2023-12-30 08:00:00,10.96,28.63,site_162
2023-12-30 08:15:00,10.96,28.63,site_162
2023-12-30 08:30:00,10.96,28.63,site_162
2023-12-30 08:45:00,9.94,22.36,site_162
2023-12-30 09:00:00,8.08,20.88,site_162
2023-12-30 09:15:00,8.14,20.88,site_162
2023-12-30 09:30:00,8.23,20.88,site_162
2023-12-30 09:45:00,10.43,20.39,site_162
2023-12-30 10:00:00,14.1,20.28,site_162
2023-12-30 10:15:00,14.1,20.28,site_162
2023-12-30 10:30:00,14.02,20.28,site_162
2023-12-30 10:45:00,13.9,26.55,site_162
2023-12-30 11:00:00,13.85,27.82,site_162
2023-12-30 11:15:00,13.86,27.82,site_162
2023-12-30 11:30:00,13.85,27.82,site_162
2023-12-30 11:45:00,14.07,21.74,site_162
2023-12-30 12:00:00,14.55,20.31,site_162
2023-12-30 12:15:00,14.51,20.31,site_162
2023-12-30 12:30:00,14.53,20.31,site_162
2023-12-30 12:45:00,13.62,19.72,site_162
2023-12-30 13:00:00,12.11,19.61,site_162
2023-12-30 13:15:00,12.0,19.61,site_162
2023-12-30 13:30:00,12.08,19.61,site_162
2023-12-30 13:45:00,11.39,21.61,site_162
2023-12-30 14:00:00,10.09,22.05,site_162
2023-12-30 14:15:00,10.13,22.05,site_162
2023-12-30 14:30:00,10.17,22.05,site_162
2023-12-30 14:45:00,9.52,23.04,site_162
2023-12-30 15:00:00,8.51,23.25,site_162
2023-12-30 15:15:00,8.5,23.25,site_162
2023-12-30 15:30:00,8.55,23.25,site_162
2023-12-30 15:45:00,8.2,20.81,site_162
2023-12-30 16:00:00,7.58,20.27,site_162
2023-12-30 16:15:00,7.58,20.27,site_162
2023-12-30 16:30:00,7.59,20.27,site_162
2023-12-30 16:45:00,8.46,19.45,site_162
2023-12-30 17:00:00,9.95,19.27,site_162
2023-12-30 17:15:00,9.75,19.27,site_162
2023-12-30 17:30:00,9.75,19.27,site_162
2023-12-30 17:45:00,9.31,21.83,site_162
2023-12-30 18:00:00,8.56,22.38,site_162
2023-12-30 18:15:00,8.54,22.38,site_162
2023-12-30 18:30:00,8.54,22.38,site_162
2023-12-30 18:45:00,8.12,26.41,site_162
2023-12-30 19:00:00,7.28,27.29,site_162
2023-12-30 19:15:00,7.31,27.29,site_162
2023-12-30 19:30:00,7.33,27.29,site_162
2023-12-30 19:45:00,6.97,30.93,site_162
2023-12-30 20:00:00,6.37,31.73,site_162
2023-12-30 20:15:00,6.37,31.73,site_162
2023-12-30 20:30:00,6.37,31.73,site_162
2023-12-30 20:45:00,7.52,36.32,site_162
2023-12-30 21:00:00,9.36,37.39,site_162
2023-12-30 21:15:00,9.41,37.39,site_162
2023-12-30 21:30:00,9.47,37.39,site_162
2023-12-30 21:45:00,9.33,40.56,site_162
2023-12-30 22:00:00,9.03,41.25,site_162
2023-12-30 22:15:00,9.03,41.25,site_162
2023-12-30 22:30:00,9.03,41.25,site_162
2023-12-30 22:45:00,9.56,42.4,site_162
2023-12-30 23:00:00,10.41,42.65,site_162
2023-12-30 23:15:00,10.44,42.65,site_162
2023-12-30 23:30:00,10.46,42.65,site_162
2023-12-30 23:45:00,10.03,40.24,site_162
2023-12-31 00:00:00,9.28,39.7,site_162
2023-12-31 00:15:00,9.28,39.7,site_162
2023-12-31 00:30:00,9.33,39.7,site_162
2023-12-31 00:45:00,10.48,45.42,site_162
2023-12-31 01:00:00,12.41,46.67,site_162
2023-12-31 01:15:00,12.41,46.67,site_162
2023-12-31 01:30:00,12.4,46.67,site_162
2023-12-31 01:45:00,11.2,44.11,site_162
2023-12-31 02:00:00,9.08,43.55,site_162
2023-12-31 02:15:00,9.06,43.55,site_162
2023-12-31 02:30:00,9.03,43.55,site_162
2023-12-31 02:45:00,8.59,41.09,site_162
2023-12-31 03:00:00,7.83,40.55,site_162
2023-12-31 03:15:00,7.82,40.55,site_162
2023-12-31 03:30:00,7.83,40.55,site_162
2023-12-31 03:45:00,7.48,39.8,site_162
2023-12-31 04:00:00,6.86,39.64,site_162
2023-12-31 04:15:00,6.91,39.64,site_162
2023-12-31 04:30:00,6.87,39.64,site_162
2023-12-31 04:45:00,7.11,31.31,site_162
2023-12-31 05:00:00,7.47,29.73,site_162
2023-12-31 05:15:00,7.41,29.73,site_162
2023-12-31 05:30:00,7.43,29.73,site_162
2023-12-31 05:45:00,8.12,36.13,site_162
2023-12-31 06:00:00,9.17,37.52,site_162
2023-12-31 06:15:00,9.12,37.52,site_162
2023-12-31 06:30:00,9.11,37.52,site_162
2023-12-31 06:45:00,8.94,38.41,site_162
2023-12-31 07:00:00,8.45,38.63,site_162
2023-12-31 07:15:00,8.53,38.63,site_162
2023-12-31 07:30:00,8.54,38.63,site_162
2023-12-31 07:45:00,8.2,43.1,site_162
2023-12-31 08:00:00,7.48,44.14,site_162
2023-12-31 08:15:00,7.51,44.14,site_162
2023-12-31 08:30:00,7.59,44.14,site_162
2023-12-31 08:45:00,7.31,45.68,site_162
2023-12-31 09:00:00,6.66,46.04,site_162
2023-12-31 09:15:00,6.61,46.04,site_162
2023-12-31 09:30:00,6.6,46.04,site_162
2023-12-31 09:45:00,8.56,42.42,site_162
2023-12-31 10:00:00,11.92,41.67,site_162
2023-12-31 10:15:00,11.92,41.67,site_162
2023-12-31 10:30:00,11.97,41.67,site_162
2023-12-31 10:45:00,,,site_162
