dt_time,pm2.5cnc,pm10cnc,deviceid
2023-12-29 00:00:00,81.52,82.25,site_5394
2023-12-29 00:15:00,81.52,82.25,site_5394
2023-12-29 00:30:00,,,site_5394
2023-12-29 00:45:00,,,site_5394
2023-12-29 01:00:00,,,site_5394
2023-12-29 01:15:00,,,site_5394
2023-12-29 01:30:00,88.92,90.31,site_5394
2023-12-29 01:45:00,85.6,92.68,site_5394
2023-12-29 02:00:00,85.6,92.68,site_5394
2023-12-29 02:15:00,85.6,92.68,site_5394
2023-12-29 02:30:00,86.97,96.19,site_5394
2023-12-29 02:45:00,89.47,102.85,site_5394
2023-12-29 03:00:00,89.47,102.85,site_5394
2023-12-29 03:15:00,89.47,102.85,site_5394
2023-12-29 03:30:00,85.74,104.14,site_5394
2023-12-29 03:45:00,78.98,106.58,site_5394
2023-12-29 04:00:00,78.98,106.58,site_5394
2023-12-29 04:15:00,78.98,106.58,site_5394
2023-12-29 04:30:00,78.63,112.02,site_5394
2023-12-29 04:45:00,77.99,121.88,site_5394
2023-12-29 05:00:00,77.99,121.88,site_5394
2023-12-29 05:15:00,77.99,121.88,site_5394
2023-12-29 05:30:00,77.96,129.23,site_5394
2023-12-29 05:45:00,77.92,142.54,site_5394
2023-12-29 06:00:00,77.92,142.54,site_5394
2023-12-29 06:15:00,77.92,142.54,site_5394
2023-12-29 06:30:00,82.8,144.89,site_5394
2023-12-29 06:45:00,91.63,149.35,site_5394
2023-12-29 07:00:00,91.63,149.35,site_5394
2023-12-29 07:15:00,91.63,149.35,site_5394
2023-12-29 07:30:00,91.08,151.2,site_5394
2023-12-29 07:45:00,90.08,154.55,site_5394
2023-12-29 08:00:00,90.08,154.55,site_5394
2023-12-29 08:15:00,90.08,154.55,site_5394
2023-12-29 08:30:00,91.71,154.98,site_5394
2023-12-29 08:45:00,94.67,155.8,site_5394
2023-12-29 09:00:00,94.67,155.8,site_5394
2023-12-29 09:15:00,94.67,155.8,site_5394
2023-12-29 09:30:00,92.63,153.71,site_5394
2023-12-29 09:45:00,88.93,149.93,site_5394
2023-12-29 10:00:00,88.93,149.93,site_5394
2023-12-29 10:15:00,88.93,149.93,site_5394
2023-12-29 10:30:00,89.96,150.46,site_5394
2023-12-29 10:45:00,91.82,151.44,site_5394
2023-12-29 11:00:00,91.82,151.44,site_5394
2023-12-29 11:15:00,91.82,151.44,site_5394
2023-12-29 11:30:00,90.31,150.95,site_5394
2023-12-29 11:45:00,87.56,150.08,site_5394
2023-12-29 12:00:00,87.56,150.08,site_5394
2023-12-29 12:15:00,87.56,150.08,site_5394
2023-12-29 12:30:00,87.66,145.46,site_5394
2023-12-29 12:45:00,87.85,137.08,site_5394
2023-12-29 13:00:00,87.85,137.08,site_5394
2023-12-29 13:15:00,87.85,137.08,site_5394
2023-12-29 13:30:00,81.27,127.65,site_5394
2023-12-29 13:45:00,69.34,110.55,site_5394
2023-12-29 14:00:00,69.34,110.55,site_5394
2023-12-29 14:15:00,69.34,110.55,site_5394
2023-12-29 14:30:00,63.69,98.25,site_5394
2023-12-29 14:45:00,53.47,75.96,site_5394
